city,timestamp,station_name,line,station_type,hour,day_of_week,is_weekend,weather,event_nearby,entries,exits,crowding_index,crowding_label
Hyderabad,2023-01-01 03:00:00,Miyapur,Red Line,Residential,3,6,1,Rainy,0,9,0,0.006,Low
Kolkata,2023-01-01 03:00:00,Salt Lake Sector V,Green Line,Commercial,3,6,1,Rainy,0,9,0,0.005,Low
Mumbai,2023-01-01 03:00:00,Versova,Line 1,Mixed/Retail,3,6,1,Rainy,0,0,23,0.016,Low
Bengaluru,2023-01-01 04:00:00,Majestic,Purple Line,Transit Hub,4,6,1,Sunny,0,23,31,0.02,Low
Chennai,2023-01-01 04:00:00,Chennai Central,Blue Line,Commercial,4,6,1,Sunny,0,20,15,0.018,Low
Delhi,2023-01-01 04:00:00,Adarsh Nagar,Yellow Line,Residential,4,6,1,Sunny,0,6,0,0.005,Low
Hyderabad,2023-01-01 04:00:00,Miyapur,Red Line,Residential,4,6,1,Sunny,0,0,23,0.027,Low
Kolkata,2023-01-01 04:00:00,Salt Lake Sector V,Green Line,Commercial,4,6,1,Sunny,0,5,0,0.002,Low
Mumbai,2023-01-01 04:00:00,Versova,Line 1,Mixed/Retail,4,6,1,Sunny,0,28,5,0.02,Low
Bengaluru,2023-01-01 05:00:00,Majestic,Purple Line,Transit Hub,5,6,1,Overcast,0,12,27,0.015,Low
Chennai,2023-01-01 05:00:00,Chennai Central,Blue Line,Commercial,5,6,1,Overcast,0,11,0,0.006,Low
Delhi,2023-01-01 05:00:00,Adarsh Nagar,Yellow Line,Residential,5,6,1,Overcast,0,16,36,0.025,Low
Hyderabad,2023-01-01 05:00:00,Miyapur,Red Line,Residential,5,6,1,Overcast,0,5,33,0.032,Low
Kolkata,2023-01-01 05:00:00,Salt Lake Sector V,Green Line,Commercial,5,6,1,Overcast,0,0,18,0.01,Low
Mumbai,2023-01-01 05:00:00,Versova,Line 1,Mixed/Retail,5,6,1,Overcast,0,6,1,0.007,Low
Bengaluru,2023-01-01 06:00:00,Majestic,Purple Line,Transit Hub,6,6,1,Sunny,0,132,119,0.084,Low
Chennai,2023-01-01 06:00:00,Chennai Central,Blue Line,Commercial,6,6,1,Sunny,0,16,2,0.011,Low
Delhi,2023-01-01 06:00:00,Adarsh Nagar,Yellow Line,Residential,6,6,1,Sunny,0,52,74,0.06,Low
Hyderabad,2023-01-01 06:00:00,Miyapur,Red Line,Residential,6,6,1,Sunny,0,22,19,0.047,Low
Kolkata,2023-01-01 06:00:00,Salt Lake Sector V,Green Line,Commercial,6,6,1,Sunny,0,30,40,0.044,Low
Mumbai,2023-01-01 06:00:00,Versova,Line 1,Mixed/Retail,6,6,1,Sunny,0,62,63,0.084,Low
Bengaluru,2023-01-01 07:00:00,Majestic,Purple Line,Transit Hub,7,6,1,Sunny,0,113,126,0.085,Low
Chennai,2023-01-01 07:00:00,Chennai Central,Blue Line,Commercial,7,6,1,Sunny,0,15,21,0.021,Low
Delhi,2023-01-01 07:00:00,Adarsh Nagar,Yellow Line,Residential,7,6,1,Sunny,0,55,39,0.047,Low
Hyderabad,2023-01-01 07:00:00,Miyapur,Red Line,Residential,7,6,1,Sunny,0,35,34,0.065,Low
Kolkata,2023-01-01 07:00:00,Salt Lake Sector V,Green Line,Commercial,7,6,1,Sunny,0,32,29,0.028,Low
Mumbai,2023-01-01 07:00:00,Versova,Line 1,Mixed/Retail,7,6,1,Sunny,0,48,63,0.064,Low
Bengaluru,2023-01-01 08:00:00,Majestic,Purple Line,Transit Hub,8,6,1,Sunny,0,657,474,0.697,Crowded
Chennai,2023-01-01 08:00:00,Chennai Central,Blue Line,Commercial,8,6,1,Sunny,0,100,319,0.199,Low
Delhi,2023-01-01 08:00:00,Adarsh Nagar,Yellow Line,Residential,8,6,1,Sunny,0,642,190,0.381,Normal
Hyderabad,2023-01-01 08:00:00,Miyapur,Red Line,Residential,8,6,1,Sunny,0,298,87,0.401,Normal
Kolkata,2023-01-01 08:00:00,Salt Lake Sector V,Green Line,Commercial,8,6,1,Sunny,0,92,422,0.245,Low
Mumbai,2023-01-01 08:00:00,Versova,Line 1,Mixed/Retail,8,6,1,Sunny,0,447,337,0.669,Crowded
Bengaluru,2023-01-01 09:00:00,Majestic,Purple Line,Transit Hub,9,6,1,Overcast,0,1022,1031,0.713,Crowded
Chennai,2023-01-01 09:00:00,Chennai Central,Blue Line,Commercial,9,6,1,Overcast,0,65,297,0.199,Low
Delhi,2023-01-01 09:00:00,Adarsh Nagar,Yellow Line,Residential,9,6,1,Overcast,0,477,165,0.444,Normal
Hyderabad,2023-01-01 09:00:00,Miyapur,Red Line,Residential,9,6,1,Overcast,0,484,115,0.446,Normal
Kolkata,2023-01-01 09:00:00,Salt Lake Sector V,Green Line,Commercial,9,6,1,Overcast,0,72,328,0.235,Low
Mumbai,2023-01-01 09:00:00,Versova,Line 1,Mixed/Retail,9,6,1,Overcast,0,485,455,0.686,Crowded
Bengaluru,2023-01-01 10:00:00,Majestic,Purple Line,Transit Hub,10,6,1,Sunny,0,1189,814,0.726,Crowded
Chennai,2023-01-01 10:00:00,Chennai Central,Blue Line,Commercial,10,6,1,Sunny,0,117,366,0.285,Low
Delhi,2023-01-01 10:00:00,Adarsh Nagar,Yellow Line,Residential,10,6,1,Sunny,0,683,131,0.404,Normal
Hyderabad,2023-01-01 10:00:00,Miyapur,Red Line,Residential,10,6,1,Sunny,0,465,71,0.417,Normal
Kolkata,2023-01-01 10:00:00,Salt Lake Sector V,Green Line,Commercial,10,6,1,Sunny,0,105,292,0.228,Low
Mumbai,2023-01-01 10:00:00,Versova,Line 1,Mixed/Retail,10,6,1,Sunny,0,537,451,0.807,Crowded
Bengaluru,2023-01-01 11:00:00,Majestic,Purple Line,Transit Hub,11,6,1,Sunny,0,425,381,0.401,Normal
Chennai,2023-01-01 11:00:00,Chennai Central,Blue Line,Commercial,11,6,1,Sunny,0,161,119,0.148,Low
Delhi,2023-01-01 11:00:00,Adarsh Nagar,Yellow Line,Residential,11,6,1,Sunny,0,296,287,0.293,Low
Hyderabad,2023-01-01 11:00:00,Miyapur,Red Line,Residential,11,6,1,Sunny,0,97,136,0.27,Low
Kolkata,2023-01-01 11:00:00,Salt Lake Sector V,Green Line,Commercial,11,6,1,Sunny,0,114,97,0.147,Low
Mumbai,2023-01-01 11:00:00,Versova,Line 1,Mixed/Retail,11,6,1,Sunny,0,158,211,0.373,Normal
Bengaluru,2023-01-01 12:00:00,Majestic,Purple Line,Transit Hub,12,6,1,Overcast,0,359,335,0.398,Normal
Chennai,2023-01-01 12:00:00,Chennai Central,Blue Line,Commercial,12,6,1,Overcast,0,115,120,0.139,Low
Delhi,2023-01-01 12:00:00,Adarsh Nagar,Yellow Line,Residential,12,6,1,Overcast,0,322,261,0.281,Low
Hyderabad,2023-01-01 12:00:00,Miyapur,Red Line,Residential,12,6,1,Overcast,0,231,187,0.326,Normal
Kolkata,2023-01-01 12:00:00,Salt Lake Sector V,Green Line,Commercial,12,6,1,Overcast,0,114,77,0.147,Low
Mumbai,2023-01-01 12:00:00,Versova,Line 1,Mixed/Retail,12,6,1,Overcast,0,290,318,0.397,Normal
Bengaluru,2023-01-01 13:00:00,Majestic,Purple Line,Transit Hub,13,6,1,Overcast,0,504,567,0.367,Normal
Chennai,2023-01-01 13:00:00,Chennai Central,Blue Line,Commercial,13,6,1,Overcast,0,141,125,0.172,Low
Delhi,2023-01-01 13:00:00,Adarsh Nagar,Yellow Line,Residential,13,6,1,Overcast,0,193,208,0.268,Low
Hyderabad,2023-01-01 13:00:00,Miyapur,Red Line,Residential,13,6,1,Overcast,0,148,170,0.258,Low
Kolkata,2023-01-01 13:00:00,Salt Lake Sector V,Green Line,Commercial,13,6,1,Overcast,0,182,158,0.162,Low
Mumbai,2023-01-01 13:00:00,Versova,Line 1,Mixed/Retail,13,6,1,Overcast,0,296,381,0.389,Normal
Bengaluru,2023-01-01 14:00:00,Majestic,Purple Line,Transit Hub,14,6,1,Overcast,0,428,382,0.497,Normal
Chennai,2023-01-01 14:00:00,Chennai Central,Blue Line,Commercial,14,6,1,Overcast,0,117,149,0.129,Low
Delhi,2023-01-01 14:00:00,Adarsh Nagar,Yellow Line,Residential,14,6,1,Overcast,0,243,293,0.277,Low
Hyderabad,2023-01-01 14:00:00,Miyapur,Red Line,Residential,14,6,1,Overcast,0,111,101,0.247,Low
Kolkata,2023-01-01 14:00:00,Salt Lake Sector V,Green Line,Commercial,14,6,1,Overcast,0,107,144,0.157,Low
Mumbai,2023-01-01 14:00:00,Versova,Line 1,Mixed/Retail,14,6,1,Overcast,0,285,355,0.401,Normal
Bengaluru,2023-01-01 15:00:00,Majestic,Purple Line,Transit Hub,15,6,1,Sunny,0,577,556,0.414,Normal
Chennai,2023-01-01 15:00:00,Chennai Central,Blue Line,Commercial,15,6,1,Sunny,0,99,106,0.147,Low
Delhi,2023-01-01 15:00:00,Adarsh Nagar,Yellow Line,Residential,15,6,1,Sunny,0,344,263,0.291,Low
Hyderabad,2023-01-01 15:00:00,Miyapur,Red Line,Residential,15,6,1,Sunny,0,125,175,0.268,Low
Kolkata,2023-01-01 15:00:00,Salt Lake Sector V,Green Line,Commercial,15,6,1,Sunny,0,150,113,0.153,Low
Mumbai,2023-01-01 15:00:00,Versova,Line 1,Mixed/Retail,15,6,1,Sunny,0,238,172,0.416,Normal
Bengaluru,2023-01-01 16:00:00,Majestic,Purple Line,Transit Hub,16,6,1,Overcast,0,452,665,0.396,Normal
Chennai,2023-01-01 16:00:00,Chennai Central,Blue Line,Commercial,16,6,1,Overcast,0,115,130,0.152,Low
Delhi,2023-01-01 16:00:00,Adarsh Nagar,Yellow Line,Residential,16,6,1,Overcast,0,248,196,0.281,Low
Hyderabad,2023-01-01 16:00:00,Miyapur,Red Line,Residential,16,6,1,Overcast,0,128,149,0.314,Normal
Kolkata,2023-01-01 16:00:00,Salt Lake Sector V,Green Line,Commercial,16,6,1,Overcast,0,141,117,0.149,Low
Mumbai,2023-01-01 16:00:00,Versova,Line 1,Mixed/Retail,16,6,1,Overcast,0,266,278,0.394,Normal
Bengaluru,2023-01-01 17:00:00,Majestic,Purple Line,Transit Hub,17,6,1,Overcast,0,825,966,0.809,Crowded
Chennai,2023-01-01 17:00:00,Chennai Central,Blue Line,Commercial,17,6,1,Overcast,0,289,91,0.176,Low
Delhi,2023-01-01 17:00:00,Adarsh Nagar,Yellow Line,Residential,17,6,1,Overcast,0,240,633,0.423,Normal
Hyderabad,2023-01-01 17:00:00,Miyapur,Red Line,Residential,17,6,1,Overcast,0,125,289,0.407,Normal
Kolkata,2023-01-01 17:00:00,Salt Lake Sector V,Green Line,Commercial,17,6,1,Overcast,0,302,63,0.235,Low
Mumbai,2023-01-01 17:00:00,Versova,Line 1,Mixed/Retail,17,6,1,Overcast,0,512,562,0.733,Crowded
Bengaluru,2023-01-01 18:00:00,Majestic,Purple Line,Transit Hub,18,6,1,Sunny,0,895,973,0.842,Crowded
Chennai,2023-01-01 18:00:00,Chennai Central,Blue Line,Commercial,18,6,1,Sunny,0,319,74,0.21,Low
Delhi,2023-01-01 18:00:00,Adarsh Nagar,Yellow Line,Residential,18,6,1,Sunny,0,194,763,0.467,Normal
Hyderabad,2023-01-01 18:00:00,Miyapur,Red Line,Residential,18,6,1,Sunny,0,91,367,0.489,Normal
Kolkata,2023-01-01 18:00:00,Salt Lake Sector V,Green Line,Commercial,18,6,1,Sunny,0,329,80,0.209,Low
Mumbai,2023-01-01 18:00:00,Versova,Line 1,Mixed/Retail,18,6,1,Sunny,0,510,411,0.755,Crowded
Bengaluru,2023-01-01 19:00:00,Majestic,Purple Line,Transit Hub,19,6,1,Sunny,0,803,748,0.725,Crowded
Chennai,2023-01-01 19:00:00,Chennai Central,Blue Line,Commercial,19,6,1,Sunny,0,402,81,0.227,Low
Delhi,2023-01-01 19:00:00,Adarsh Nagar,Yellow Line,Residential,19,6,1,Sunny,0,184,556,0.4,Normal
Hyderabad,2023-01-01 19:00:00,Miyapur,Red Line,Residential,19,6,1,Sunny,0,114,398,0.449,Normal
Kolkata,2023-01-01 19:00:00,Salt Lake Sector V,Green Line,Commercial,19,6,1,Sunny,0,238,69,0.209,Low
Mumbai,2023-01-01 19:00:00,Versova,Line 1,Mixed/Retail,19,6,1,Sunny,0,583,531,0.717,Crowded
Bengaluru,2023-01-01 20:00:00,Majestic,Purple Line,Transit Hub,20,6,1,Rainy,0,140,315,0.239,Low
Chennai,2023-01-01 20:00:00,Chennai Central,Blue Line,Commercial,20,6,1,Rainy,0,29,102,0.073,Low
Delhi,2023-01-01 20:00:00,Adarsh Nagar,Yellow Line,Residential,20,6,1,Rainy,0,42,132,0.138,Low
Hyderabad,2023-01-01 20:00:00,Miyapur,Red Line,Residential,20,6,1,Rainy,0,56,84,0.167,Low
Kolkata,2023-01-01 20:00:00,Salt Lake Sector V,Green Line,Commercial,20,6,1,Rainy,0,43,43,0.059,Low
Mumbai,2023-01-01 20:00:00,Versova,Line 1,Mixed/Retail,20,6,1,Rainy,0,146,191,0.192,Low
Bengaluru,2023-01-01 21:00:00,Majestic,Purple Line,Transit Hub,21,6,1,Overcast,0,310,527,0.292,Low
Chennai,2023-01-01 21:00:00,Chennai Central,Blue Line,Commercial,21,6,1,Overcast,0,53,107,0.111,Low
Delhi,2023-01-01 21:00:00,Adarsh Nagar,Yellow Line,Residential,21,6,1,Overcast,0,142,70,0.144,Low
Hyderabad,2023-01-01 21:00:00,Miyapur,Red Line,Residential,21,6,1,Overcast,0,149,202,0.226,Low
Kolkata,2023-01-01 21:00:00,Salt Lake Sector V,Green Line,Commercial,21,6,1,Overcast,0,49,117,0.102,Low
Mumbai,2023-01-01 21:00:00,Versova,Line 1,Mixed/Retail,21,6,1,Overcast,0,80,214,0.23,Low
Bengaluru,2023-01-01 22:00:00,Majestic,Purple Line,Transit Hub,22,6,1,Sunny,0,137,155,0.16,Low
Chennai,2023-01-01 22:00:00,Chennai Central,Blue Line,Commercial,22,6,1,Sunny,0,8,131,0.083,Low
Delhi,2023-01-01 22:00:00,Adarsh Nagar,Yellow Line,Residential,22,6,1,Sunny,0,88,285,0.196,Low
Hyderabad,2023-01-01 22:00:00,Miyapur,Red Line,Residential,22,6,1,Sunny,0,54,124,0.172,Low
Kolkata,2023-01-01 22:00:00,Salt Lake Sector V,Green Line,Commercial,22,6,1,Sunny,0,45,109,0.096,Low
Mumbai,2023-01-01 22:00:00,Versova,Line 1,Mixed/Retail,22,6,1,Sunny,0,83,190,0.206,Low
Bengaluru,2023-01-01 23:00:00,Majestic,Purple Line,Transit Hub,23,6,1,Sunny,0,346,443,0.264,Low
Chennai,2023-01-01 23:00:00,Chennai Central,Blue Line,Commercial,23,6,1,Sunny,0,39,140,0.083,Low
Delhi,2023-01-01 23:00:00,Adarsh Nagar,Yellow Line,Residential,23,6,1,Sunny,0,78,238,0.198,Low
Hyderabad,2023-01-01 23:00:00,Miyapur,Red Line,Residential,23,6,1,Sunny,0,46,130,0.164,Low
Kolkata,2023-01-01 23:00:00,Salt Lake Sector V,Green Line,Commercial,23,6,1,Sunny,0,45,60,0.068,Low
Mumbai,2023-01-01 23:00:00,Versova,Line 1,Mixed/Retail,23,6,1,Sunny,0,93,325,0.249,Low
Bengaluru,2023-01-02 00:00:00,Majestic,Purple Line,Transit Hub,0,0,0,Stormy,0,0,0,0.0,Low
Chennai,2023-01-02 00:00:00,Chennai Central,Blue Line,Commercial,0,0,0,Stormy,0,0,26,0.022,Low
Delhi,2023-01-02 00:00:00,Adarsh Nagar,Yellow Line,Residential,0,0,0,Stormy,0,39,10,0.022,Low
Hyderabad,2023-01-02 00:00:00,Miyapur,Red Line,Residential,0,0,0,Stormy,0,0,11,0.007,Low
Kolkata,2023-01-02 00:00:00,Salt Lake Sector V,Green Line,Commercial,0,0,0,Stormy,0,15,23,0.018,Low
Mumbai,2023-01-02 00:00:00,Versova,Line 1,Mixed/Retail,0,0,0,Stormy,0,2,19,0.015,Low
Bengaluru,2023-01-02 01:00:00,Majestic,Purple Line,Transit Hub,1,0,0,Rainy,0,22,20,0.019,Low
Chennai,2023-01-02 01:00:00,Chennai Central,Blue Line,Commercial,1,0,0,Rainy,0,12,18,0.02,Low
Delhi,2023-01-02 01:00:00,Adarsh Nagar,Yellow Line,Residential,1,0,0,Rainy,0,0,44,0.032,Low
Hyderabad,2023-01-02 01:00:00,Miyapur,Red Line,Residential,1,0,0,Rainy,0,0,0,0.0,Low
Kolkata,2023-01-02 01:00:00,Salt Lake Sector V,Green Line,Commercial,1,0,0,Rainy,0,33,25,0.032,Low
Mumbai,2023-01-02 01:00:00,Versova,Line 1,Mixed/Retail,1,0,0,Rainy,0,15,14,0.032,Low
Bengaluru,2023-01-02 02:00:00,Majestic,Purple Line,Transit Hub,2,0,0,Sunny,0,20,22,0.015,Low
Chennai,2023-01-02 02:00:00,Chennai Central,Blue Line,Commercial,2,0,0,Sunny,0,0,37,0.022,Low
Delhi,2023-01-02 02:00:00,Adarsh Nagar,Yellow Line,Residential,2,0,0,Sunny,0,20,40,0.031,Low
Hyderabad,2023-01-02 02:00:00,Miyapur,Red Line,Residential,2,0,0,Sunny,0,19,29,0.031,Low
Kolkata,2023-01-02 02:00:00,Salt Lake Sector V,Green Line,Commercial,2,0,0,Sunny,0,14,22,0.021,Low
Mumbai,2023-01-02 02:00:00,Versova,Line 1,Mixed/Retail,2,0,0,Sunny,0,21,26,0.045,Low
Bengaluru,2023-01-02 03:00:00,Majestic,Purple Line,Transit Hub,3,0,0,Sunny,0,3,17,0.007,Low
Chennai,2023-01-02 03:00:00,Chennai Central,Blue Line,Commercial,3,0,0,Sunny,0,0,7,0.005,Low
Delhi,2023-01-02 03:00:00,Adarsh Nagar,Yellow Line,Residential,3,0,0,Sunny,0,25,46,0.037,Low
Hyderabad,2023-01-02 03:00:00,Miyapur,Red Line,Residential,3,0,0,Sunny,0,23,12,0.028,Low
Kolkata,2023-01-02 03:00:00,Salt Lake Sector V,Green Line,Commercial,3,0,0,Sunny,0,17,0,0.012,Low
Mumbai,2023-01-02 03:00:00,Versova,Line 1,Mixed/Retail,3,0,0,Sunny,0,11,13,0.016,Low
Bengaluru,2023-01-02 04:00:00,Majestic,Purple Line,Transit Hub,4,0,0,Sunny,0,41,32,0.045,Low
Chennai,2023-01-02 04:00:00,Chennai Central,Blue Line,Commercial,4,0,0,Sunny,0,19,20,0.019,Low
Delhi,2023-01-02 04:00:00,Adarsh Nagar,Yellow Line,Residential,4,0,0,Sunny,0,0,5,0.003,Low
Hyderabad,2023-01-02 04:00:00,Miyapur,Red Line,Residential,4,0,0,Sunny,0,2,15,0.013,Low
Kolkata,2023-01-02 04:00:00,Salt Lake Sector V,Green Line,Commercial,4,0,0,Sunny,0,13,27,0.019,Low
Mumbai,2023-01-02 04:00:00,Versova,Line 1,Mixed/Retail,4,0,0,Sunny,0,25,23,0.03,Low
Bengaluru,2023-01-02 05:00:00,Majestic,Purple Line,Transit Hub,5,0,0,Overcast,0,44,49,0.033,Low
Chennai,2023-01-02 05:00:00,Chennai Central,Blue Line,Commercial,5,0,0,Overcast,0,50,9,0.036,Low
Delhi,2023-01-02 05:00:00,Adarsh Nagar,Yellow Line,Residential,5,0,0,Overcast,0,31,29,0.03,Low
Hyderabad,2023-01-02 05:00:00,Miyapur,Red Line,Residential,5,0,0,Overcast,0,49,3,0.041,Low
Kolkata,2023-01-02 05:00:00,Salt Lake Sector V,Green Line,Commercial,5,0,0,Overcast,0,4,13,0.01,Low
Mumbai,2023-01-02 05:00:00,Versova,Line 1,Mixed/Retail,5,0,0,Overcast,0,0,6,0.005,Low
Bengaluru,2023-01-02 06:00:00,Majestic,Purple Line,Transit Hub,6,0,0,Overcast,0,116,149,0.092,Low
Chennai,2023-01-02 06:00:00,Chennai Central,Blue Line,Commercial,6,0,0,Overcast,0,80,86,0.115,Low
Delhi,2023-01-02 06:00:00,Adarsh Nagar,Yellow Line,Residential,6,0,0,Overcast,0,92,103,0.12,Low
Hyderabad,2023-01-02 06:00:00,Miyapur,Red Line,Residential,6,0,0,Overcast,0,72,61,0.106,Low
Kolkata,2023-01-02 06:00:00,Salt Lake Sector V,Green Line,Commercial,6,0,0,Overcast,0,62,59,0.095,Low
Mumbai,2023-01-02 06:00:00,Versova,Line 1,Mixed/Retail,6,0,0,Overcast,0,70,50,0.09,Low
Bengaluru,2023-01-02 07:00:00,Majestic,Purple Line,Transit Hub,7,0,0,Sunny,0,103,122,0.108,Low
Chennai,2023-01-02 07:00:00,Chennai Central,Blue Line,Commercial,7,0,0,Sunny,0,50,65,0.078,Low
Delhi,2023-01-02 07:00:00,Adarsh Nagar,Yellow Line,Residential,7,0,0,Sunny,0,85,85,0.099,Low
Hyderabad,2023-01-02 07:00:00,Miyapur,Red Line,Residential,7,0,0,Sunny,0,50,65,0.102,Low
Kolkata,2023-01-02 07:00:00,Salt Lake Sector V,Green Line,Commercial,7,0,0,Sunny,0,89,103,0.091,Low
Mumbai,2023-01-02 07:00:00,Versova,Line 1,Mixed/Retail,7,0,0,Sunny,0,87,93,0.104,Low
Bengaluru,2023-01-02 08:00:00,Majestic,Purple Line,Transit Hub,8,0,0,Sunny,0,757,701,0.827,Crowded
Chennai,2023-01-02 08:00:00,Chennai Central,Blue Line,Commercial,8,0,0,Sunny,0,208,1032,0.649,Crowded
Delhi,2023-01-02 08:00:00,Adarsh Nagar,Yellow Line,Residential,8,0,0,Sunny,0,941,313,0.683,Crowded
Hyderabad,2023-01-02 08:00:00,Miyapur,Red Line,Residential,8,0,0,Sunny,0,563,247,0.662,Crowded
Kolkata,2023-01-02 08:00:00,Salt Lake Sector V,Green Line,Commercial,8,0,0,Sunny,0,306,1002,0.819,Crowded
Mumbai,2023-01-02 08:00:00,Versova,Line 1,Mixed/Retail,8,0,0,Sunny,0,506,434,1.0,Critically Overcrowded
Bengaluru,2023-01-02 09:00:00,Majestic,Purple Line,Transit Hub,9,0,0,Overcast,0,1130,1188,0.975,Critically Overcrowded
Chennai,2023-01-02 09:00:00,Chennai Central,Blue Line,Commercial,9,0,0,Overcast,0,249,1018,0.842,Crowded
Delhi,2023-01-02 09:00:00,Adarsh Nagar,Yellow Line,Residential,9,0,0,Overcast,0,992,293,0.698,Crowded
Hyderabad,2023-01-02 09:00:00,Miyapur,Red Line,Residential,9,0,0,Overcast,0,810,180,0.699,Crowded
Kolkata,2023-01-02 09:00:00,Salt Lake Sector V,Green Line,Commercial,9,0,0,Overcast,0,208,757,0.653,Crowded
Mumbai,2023-01-02 09:00:00,Versova,Line 1,Mixed/Retail,9,0,0,Overcast,0,730,666,0.986,Critically Overcrowded
Bengaluru,2023-01-02 10:00:00,Majestic,Purple Line,Transit Hub,10,0,0,Sunny,0,1033,949,1.0,Critically Overcrowded
Chennai,2023-01-02 10:00:00,Chennai Central,Blue Line,Commercial,10,0,0,Sunny,0,281,1262,0.84,Crowded
Delhi,2023-01-02 10:00:00,Adarsh Nagar,Yellow Line,Residential,10,0,0,Sunny,0,1123,192,0.624,Crowded
Hyderabad,2023-01-02 10:00:00,Miyapur,Red Line,Residential,10,0,0,Sunny,0,749,278,0.704,Crowded
Kolkata,2023-01-02 10:00:00,Salt Lake Sector V,Green Line,Commercial,10,0,0,Sunny,0,161,777,0.677,Crowded
Mumbai,2023-01-02 10:00:00,Versova,Line 1,Mixed/Retail,10,0,0,Sunny,0,572,489,0.867,Critically Overcrowded
Bengaluru,2023-01-02 11:00:00,Majestic,Purple Line,Transit Hub,11,0,0,Sunny,0,546,687,0.519,Normal
Chennai,2023-01-02 11:00:00,Chennai Central,Blue Line,Commercial,11,0,0,Sunny,0,360,324,0.42,Normal
Delhi,2023-01-02 11:00:00,Adarsh Nagar,Yellow Line,Residential,11,0,0,Sunny,0,337,265,0.491,Normal
Hyderabad,2023-01-02 11:00:00,Miyapur,Red Line,Residential,11,0,0,Sunny,0,243,246,0.422,Normal
Kolkata,2023-01-02 11:00:00,Salt Lake Sector V,Green Line,Commercial,11,0,0,Sunny,0,571,589,0.532,Normal
Mumbai,2023-01-02 11:00:00,Versova,Line 1,Mixed/Retail,11,0,0,Sunny,0,280,243,0.409,Normal
Bengaluru,2023-01-02 12:00:00,Majestic,Purple Line,Transit Hub,12,0,0,Sunny,0,459,358,0.44,Normal
Chennai,2023-01-02 12:00:00,Chennai Central,Blue Line,Commercial,12,0,0,Sunny,0,480,585,0.491,Normal
Delhi,2023-01-02 12:00:00,Adarsh Nagar,Yellow Line,Residential,12,0,0,Sunny,0,569,637,0.508,Normal
Hyderabad,2023-01-02 12:00:00,Miyapur,Red Line,Residential,12,0,0,Sunny,0,437,425,0.551,Normal
Kolkata,2023-01-02 12:00:00,Salt Lake Sector V,Green Line,Commercial,12,0,0,Sunny,0,393,295,0.504,Normal
Mumbai,2023-01-02 12:00:00,Versova,Line 1,Mixed/Retail,12,0,0,Sunny,0,266,223,0.521,Normal
Bengaluru,2023-01-02 13:00:00,Majestic,Purple Line,Transit Hub,13,0,0,Overcast,0,545,662,0.51,Normal
